authorID,authorNameCN,山水,人物,花鸟,cid
AU000285,吴道子,0,4,0,
AU000288,吴伟,6,26,0,128214
AU000290,吴镇,35,0,25,33891
AU000291,武元直,1,0,0,
AU000292,夏昶,2,0,11,
AU000293,夏珪,2,3,0,44565
AU000294,夏森,1,1,0,44609
AU000295,夏叔文,1,0,0,
AU000296,夏永,10,1,0,
AU000301,项圣谟,17,1,7,
AU000302,项元汴,2,1,2,30328
AU000303,萧云从,4,0,0,
AU000304,萧照,6,2,0,39495
AU000306,谢楚芳,0,0,1,
AU000307,谢环,0,2,0,
AU000308,谢庭芝,0,0,1,
AU000310,徐贲,6,0,0,34387
AU000311,徐崇嗣,0,0,2,45078
AU000313,徐渭,0,1,18,30607
AU000314,徐熙,0,0,8,45077
AU000315,徐禹功,0,0,1,
AU000317,许道宁,11,1,2,791
AU000321,阎次平,8,1,0,52145
AU000322,阎次于,6,0,0,52144
AU000323,阎立本,0,11,0,180064
AU000324,颜辉,5,11,2,112740
AU000327,燕肃,8,0,0,4082
AU000328,燕文贵,18,9,0,42189
AU000329,扬无咎,0,1,3,49504
AU000333,杨世昌,0,1,0,49518
AU000335,姚绶,2,1,6,100239
AU000336,姚廷美,4,0,0,
AU000337,叶肖严,1,0,0,49829
AU000338,易元吉,1,0,15,42866
AU000339,因陀罗,0,1,0,
AU000342,玉涧,5,0,0,
AU000343,袁尚统,0,3,2,
AU000346,展子虔,1,0,0,
AU000347,张观,3,0,0,106854
AU000348,张珪,0,0,1,
AU000349,张宏,18,7,4,79966
AU000350,张激,0,1,0,
AU000352,张路,4,21,0,
AU000353,张茂,0,0,1,46700
AU000354,张瑞图,5,0,0,130559
AU000355,张胜温,0,4,0,
AU000356,张舜咨,2,0,2,107215
AU000358,张渥,2,5,0,106666
AU000361,张逊,1,0,0,106746
AU000364,张羽,1,0,0,
AU000365,张瑀,0,1,0,
AU000366,张择端,3,0,0,
AU000367,张中,0,0,5,106462
AU000368,赵伯驹,29,1,1,25534
AU000369,赵伯骕,9,1,1,25533
AU000370,赵昌,0,0,18,38503
AU000371,赵大亨,2,0,0,39588
AU000374,赵构,3,0,0,9010
AU000375,赵光辅,0,1,0,
AU000376,赵佶,6,4,35,9008
AU000379,赵葵,1,0,0,15219
AU000380,赵霖,0,0,1,
AU000381,赵麟,0,2,0,
AU000382,赵令穰,16,1,0,
AU000384,赵孟頫,36,48,26,17690
AU000385,赵士雷,3,0,0,50268
AU000387,赵雍,10,12,7,17693
AU000388,赵原,9,0,0,
AU000390,赵衷,2,0,2,
AU000391,郑思肖,0,0,2,10912
AU000394,周臣,16,12,0,128800
AU000395,周东卿,0,0,1,
AU000396,周昉,0,8,0,165061
AU000397,周季常,0,1,0,
AU000399,周文矩,0,23,0,42602
AU000400,朱耷,0,0,2,68854
AU000401,朱德润,12,0,0,28800
AU000402,朱朗,1,0,2,
AU000403,朱锐,6,0,0,39828
AU000404,朱绍宗,1,0,1,39852
AU000406,朱惟德,1,0,1,217356
AU000408,朱玉,0,1,0,101902
AU000409,祝允明,1,1,0,30180
AU000411,邹复雷,0,0,1,
AU000413,范宽,18,1,1,38864
AU000414,黄山寿,1,1,1,
AU000415,樊圻,11,0,7,
AU000419,李流芳,7,0,0,34751
AU000420,夏圭,33,25,2,44565
AU000422,张璪,1,0,0,156665
AU000426,董邦达,53,1,0,57670
AU000429,周之冕,0,0,18,
AU000433,邵弥,11,0,0,
AU000434,高奇峰,1,0,0,
AU000437,顾鹤庆,2,0,0,54092
AU000444,张僧繇,0,1,0,
AU000452,罗牧,5,0,1,
AU000453,李鱓,0,0,21,
AU000461,陆探微,1,0,0,
AU000464,居廉,0,0,12,
AU000465,黄筌,0,0,1,41489
AU000466,卞文瑜,6,0,0,
AU000468,胡公寿,1,0,0,
